MSISDN,Topup date,Measure,Amount paid
0704678005,2022-10-03,1,49
0704710523,2022-10-03,1,100
0704758329,2022-10-03,1,49
0704804566,2022-10-03,1,99
0704851944,2022-10-03,1,149
0704859131,2022-10-03,1,249
0704901621,2022-10-03,1,99
0704902014,2022-10-03,2,198
0704934095,2022-10-03,1,99
0705080715,2022-10-03,2,10
0705084262,2022-10-03,1,99
0705084390,2022-10-03,1,199
0705092608,2022-10-03,1,99
0705098152,2022-10-03,1,99
0705098407,2022-10-03,1,199
0705111245,2022-10-03,3,209
0705119773,2022-10-03,1,100
0705140737,2022-10-03,1,99
0705147726,2022-10-03,1,149
0705148200,2022-10-03,1,99
0705160002,2022-10-03,1,99
0705161679,2022-10-03,2,249
0705162571,2022-10-03,1,99
0705167960,2022-10-03,1,99
0705171265,2022-10-03,1,299
0705173275,2022-10-03,1,99
0705175606,2022-10-03,2,10
0705182875,2022-10-03,1,199
0705198205,2022-10-03,1,99
0705211597,2022-10-03,1,0
0705228968,2022-10-03,1,0
0705239935,2022-10-03,1,99
0705262127,2022-10-03,1,199
0705287159,2022-10-03,1,0
0705291153,2022-10-03,1,49
0705324189,2022-10-03,1,99
0705334024,2022-10-03,1,0
0705337455,2022-10-03,1,99
0705338025,2022-10-03,1,49
0705341107,2022-10-03,1,299
0705348005,2022-10-03,1,0
0705348244,2022-10-03,2,0
0705357898,2022-10-03,1,349
0705359215,2022-10-03,2,149
0705363569,2022-10-03,1,99
0705379349,2022-10-03,1,0
0705393499,2022-10-03,1,100
0705404210,2022-10-03,1,99
0705412690,2022-10-03,1,100
0705417735,2022-10-03,1,99
0705429338,2022-10-03,1,99
0705439800,2022-10-03,1,349
0705442494,2022-10-03,1,249
0705442590,2022-10-03,1,99
0705446426,2022-10-03,1,99
0705451167,2022-10-03,1,99
0705474272,2022-10-03,1,100
0705480140,2022-10-03,1,99
0705498706,2022-10-03,2,0
0705498707,2022-10-03,1,99
0705525849,2022-10-03,1,199
0705535782,2022-10-03,1,99
0705538618,2022-10-03,1,99
0705560443,2022-10-03,1,99
0705591650,2022-10-03,1,249
0705596466,2022-10-03,1,149
0705603932,2022-10-03,1,299
0705612638,2022-10-03,1,99
0705613594,2022-10-03,1,99
0705614018,2022-10-03,1,99
0705623480,2022-10-03,1,199
0705632366,2022-10-03,1,99
0705632868,2022-10-03,1,99
0705653399,2022-10-03,1,99
0705670547,2022-10-03,1,149
0705682699,2022-10-03,1,99
0705698184,2022-10-03,1,249
0705704503,2022-10-03,2,0
0705706833,2022-10-03,1,50
0705712776,2022-10-03,1,99
0705714484,2022-10-03,1,299
0705722647,2022-10-03,1,299
0705725426,2022-10-03,1,99
0705730229,2022-10-03,2,0
0705734788,2022-10-03,1,99
0705744946,2022-10-03,1,299
0705746693,2022-10-03,1,100
0705756762,2022-10-03,1,99
0705774681,2022-10-03,1,249
0705776342,2022-10-03,1,149
0705780553,2022-10-03,1,100
0705781102,2022-10-03,1,300
0705785072,2022-10-03,3,310
0705792027,2022-10-03,1,99
0705798286,2022-10-03,1,149
0705821939,2022-10-03,1,99
0705825758,2022-10-03,1,99
0705828958,2022-10-03,2,99
0705833065,2022-10-03,1,99
0705834407,2022-10-03,1,199
0705836606,2022-10-03,1,99
0705877212,2022-10-03,1,99
0705892614,2022-10-03,1,199
0705894247,2022-10-03,1,99
0705901695,2022-10-03,1,100
0705902073,2022-10-03,3,297
0705903407,2022-10-03,1,100
0705908564,2022-10-03,1,49
0705915393,2022-10-03,1,149
0705920942,2022-10-03,1,149
0705925624,2022-10-03,1,99
0705948357,2022-10-03,1,99
0706014775,2022-10-03,1,99
0706020660,2022-10-03,1,99
0706031862,2022-10-03,1,299
0706035122,2022-10-03,1,300
0706042753,2022-10-03,1,799
0706088050,2022-10-03,1,249
0706144279,2022-10-03,3,147
0706164971,2022-10-03,1,99
0706168264,2022-10-03,1,49
0706224012,2022-10-03,1,199
0706224776,2022-10-03,1,199
0706239808,2022-10-03,1,149
0706256808,2022-10-03,1,199
0706258979,2022-10-03,2,99
0706262069,2022-10-03,1,99
0706284256,2022-10-03,1,0
0706310939,2022-10-03,1,100
0706317038,2022-10-03,1,349
0706319188,2022-10-03,1,99
0706343505,2022-10-03,1,49
0706353756,2022-10-03,1,300
0706363892,2022-10-03,1,100
0706371159,2022-10-03,1,299
0706373612,2022-10-03,1,100
0706381695,2022-10-03,1,100
0706385559,2022-10-03,1,49
0706390222,2022-10-03,1,99
0706394268,2022-10-03,1,99
0706402943,2022-10-03,1,99
0706428267,2022-10-03,2,0
0706435807,2022-10-03,1,99
0706514205,2022-10-03,1,449
0706520665,2022-10-03,1,0
0706553591,2022-10-03,1,199
0706554826,2022-10-03,1,199
0706554951,2022-10-03,2,0
0706559527,2022-10-03,1,99
0706562272,2022-10-03,1,99
0706563487,2022-10-03,1,199
0706575255,2022-10-03,1,99
0706575263,2022-10-03,1,300
0706581212,2022-10-03,1,99
0706582579,2022-10-03,1,499
0706599031,2022-10-03,1,999
0706603572,2022-10-03,1,149
0706654203,2022-10-03,1,99
0706688437,2022-10-03,1,99
0706706291,2022-10-03,1,199
0706733003,2022-10-03,1,99
0706789264,2022-10-03,1,100
0706806536,2022-10-03,1,99
0706819368,2022-10-03,1,99
0706834345,2022-10-03,1,49
0706840476,2022-10-03,1,99
0706852201,2022-10-03,1,99
0706864237,2022-10-03,1,49
0706946074,2022-10-03,1,149
0707134575,2022-10-03,1,99
0707164376,2022-10-03,1,100
0707168623,2022-10-03,1,149
0707175169,2022-10-03,1,99
0707240610,2022-10-03,4,159
0707308168,2022-10-03,1,300
0707325384,2022-10-03,1,99
0707334908,2022-10-03,2,99
0707385208,2022-10-03,2,10
0707409907,2022-10-03,1,99
0707462278,2022-10-03,1,0
0707474720,2022-10-03,1,149
0707487042,2022-10-03,1,100
0707509861,2022-10-03,1,300
0707547540,2022-10-03,6,294
0707592952,2022-10-03,1,99
0707610644,2022-10-03,1,99
0707632245,2022-10-03,1,49
0707681275,2022-10-03,2,10
0707683978,2022-10-03,1,49
0707701416,2022-10-03,2,10
0707731124,2022-10-03,2,99
0707751840,2022-10-03,1,99
0707762370,2022-10-03,1,199
0707773885,2022-10-03,1,99
0707792377,2022-10-03,1,99
0707792612,2022-10-03,1,199
0707811238,2022-10-03,1,199
0707811761,2022-10-03,1,199
0707821308,2022-10-03,1,249
0707931870,2022-10-03,3,59
0707932070,2022-10-03,1,149
0707936106,2022-10-03,3,159
0707970895,2022-10-03,1,99
0708109419,2022-10-03,1,99
0708111502,2022-10-03,1,99
0708119566,2022-10-03,1,99
0708120168,2022-10-03,1,149
0708121152,2022-10-03,1,99
0708121886,2022-10-03,1,99
0708126225,2022-10-03,1,149
0708132806,2022-10-03,1,49
0708135319,2022-10-03,1,99
0708138061,2022-10-03,1,99
0708143637,2022-10-03,1,149
0708143939,2022-10-03,1,99
0708146287,2022-10-03,1,99
0708146873,2022-10-03,1,99
0708155592,2022-10-03,1,199
0708156224,2022-10-03,9,441
0708156466,2022-10-03,2,299
0708158173,2022-10-03,1,100
0708159116,2022-10-03,1,49
0708163094,2022-10-03,1,250
0708163920,2022-10-03,1,299
0708166210,2022-10-03,1,449
0708166517,2022-10-03,1,99
0708169365,2022-10-03,2,10
0708170850,2022-10-03,1,49
0708170896,2022-10-03,1,199
0708175332,2022-10-03,1,99
0708178305,2022-10-03,1,349
0708180710,2022-10-03,2,148
0708182421,2022-10-03,1,199
0708184127,2022-10-03,1,149
0708185164,2022-10-03,1,349
0708187117,2022-10-03,1,100
0708188566,2022-10-03,1,199
0708189676,2022-10-03,1,99
0708193268,2022-10-03,1,99
0708196362,2022-10-03,1,99
0708197986,2022-10-03,1,99
0708198464,2022-10-03,1,99
0708200884,2022-10-03,1,300
0708202354,2022-10-03,1,149
0708202739,2022-10-03,1,99
0708203361,2022-10-03,1,99
0708206087,2022-10-03,1,99
0708207414,2022-10-03,1,349
0708208145,2022-10-03,1,99
0708208473,2022-10-03,3,347
0708209159,2022-10-03,1,99
0708212982,2022-10-03,3,99
0708225929,2022-10-03,1,99
0708226296,2022-10-03,1,99
0708227633,2022-10-03,1,49
0708233273,2022-10-03,1,199
0708236800,2022-10-03,2,10
0708237350,2022-10-03,1,349
0708239522,2022-10-03,1,49
0708239631,2022-10-03,1,149
0708242802,2022-10-03,1,49
0708250164,2022-10-03,2,99
0708252757,2022-10-03,2,300
0708254341,2022-10-03,1,99
0708257760,2022-10-03,1,100
0708260396,2022-10-03,1,49
0708262574,2022-10-03,1,99
0708264625,2022-10-03,1,299
0708279093,2022-10-03,1,99
0708279235,2022-10-03,1,449
0708284968,2022-10-03,1,349
0708285158,2022-10-03,1,199
0708288221,2022-10-03,2,10
0708289714,2022-10-03,1,100
0708289987,2022-10-03,1,100
0708290218,2022-10-03,1,99
0708290353,2022-10-03,1,99
0708291144,2022-10-03,1,99
0708291184,2022-10-03,1,99
0708291517,2022-10-03,1,349
0708291574,2022-10-03,1,50
0708292394,2022-10-03,1,199
0708292843,2022-10-03,1,199
0708298637,2022-10-03,1,199
0708298749,2022-10-03,1,99
0708303199,2022-10-03,1,300
0708304882,2022-10-03,1,149
0708309214,2022-10-03,1,99
0708311654,2022-10-03,1,100
0708318583,2022-10-03,1,100
0708320397,2022-10-03,1,99
0708321622,2022-10-03,1,99
0708323844,2022-10-03,1,299
0708324561,2022-10-03,1,249
0708342008,2022-10-03,2,149
0708343457,2022-10-03,1,99
0708345254,2022-10-03,1,349
0708351669,2022-10-03,1,100
0708355005,2022-10-03,3,109
0708356170,2022-10-03,1,349
0708356478,2022-10-03,1,299
0708356877,2022-10-03,1,999
0708357085,2022-10-03,1,449
0708358255,2022-10-03,1,300
0708359378,2022-10-03,1,199
0708372335,2022-10-03,1,299
0708378685,2022-10-03,1,99
0708379492,2022-10-03,1,99
0708379570,2022-10-03,1,449
0708384136,2022-10-03,2,98
0708384341,2022-10-03,1,149
0708385055,2022-10-03,1,100
0708388321,2022-10-03,1,99
0708393293,2022-10-03,8,392
0708394623,2022-10-03,1,49
0708395427,2022-10-03,1,99
0708395765,2022-10-03,1,199
0708395879,2022-10-03,1,49
0708397211,2022-10-03,1,199
0708397335,2022-10-03,1,349
0708410713,2022-10-03,1,99
0708416522,2022-10-03,1,99
0708422129,2022-10-03,2,149
0708422695,2022-10-03,1,300
0708423662,2022-10-03,1,99
0708424399,2022-10-03,1,99
0708437091,2022-10-03,1,249
0708442778,2022-10-03,1,99
0708442839,2022-10-03,1,100
0708444950,2022-10-03,1,149
0708457481,2022-10-03,1,149
0708457941,2022-10-03,1,349
0708470235,2022-10-03,1,199
0708476336,2022-10-03,1,99
0708480626,2022-10-03,1,149
0708482418,2022-10-03,1,249
0708483116,2022-10-03,1,449
0708483436,2022-10-03,1,0
0708484211,2022-10-03,1,349
0708484473,2022-10-03,1,299
0708484517,2022-10-03,1,99
0708485588,2022-10-03,1,149
0708485662,2022-10-03,1,199
0708486044,2022-10-03,1,199
0708487431,2022-10-03,1,100
0708495419,2022-10-03,1,49
0708495524,2022-10-03,1,100
0708495765,2022-10-03,1,99
0708496559,2022-10-03,1,99
0708496584,2022-10-03,1,99
0708496846,2022-10-03,1,250
0708496961,2022-10-03,1,149
0708497254,2022-10-03,1,99
0708498131,2022-10-03,3,301
0708502564,2022-10-03,1,449
0708503912,2022-10-03,1,299
0708505354,2022-10-03,1,199
0708510630,2022-10-03,1,100
0708511755,2022-10-03,1,100
0708512404,2022-10-03,1,99
0708523912,2022-10-03,2,98
0708532594,2022-10-03,1,299
0708533476,2022-10-03,1,99
0708534095,2022-10-03,1,100
0708534159,2022-10-03,1,99
0708535141,2022-10-03,1,99
0708536826,2022-10-03,1,99
0708538299,2022-10-03,1,349
0708538571,2022-10-03,1,99
0708539377,2022-10-03,2,299
0708540481,2022-10-03,1,99
0708541813,2022-10-03,1,100
0708544541,2022-10-03,1,49
0708545557,2022-10-03,1,199
0708548983,2022-10-03,1,449
0708549781,2022-10-03,1,100
0708556989,2022-10-03,1,99
0708557037,2022-10-03,1,449
0708557207,2022-10-03,1,100
0708558401,2022-10-03,1,299
0708558622,2022-10-03,1,349
0708558749,2022-10-03,2,10
0708558988,2022-10-03,1,99
0708565982,2022-10-03,1,299
0708570647,2022-10-03,1,149
0708571122,2022-10-03,1,249
0708574487,2022-10-03,1,199
0708578787,2022-10-03,1,100
0708580971,2022-10-03,1,299
0708583107,2022-10-03,1,99
0708583183,2022-10-03,1,299
0708583259,2022-10-03,2,448
0708586718,2022-10-03,1,349
0708586982,2022-10-03,1,300
0708587528,2022-10-03,3,200
0708591801,2022-10-03,1,99
0708593339,2022-10-03,1,199
0708621294,2022-10-03,1,349
0708630836,2022-10-03,1,199
0708631737,2022-10-03,1,99
0708632915,2022-10-03,1,99
0708632991,2022-10-03,1,299
0708633485,2022-10-03,1,100
0708635463,2022-10-03,1,799
0708635652,2022-10-03,1,99
0708636751,2022-10-03,1,199
0708638904,2022-10-03,1,299
0708638954,2022-10-03,1,300
0708641256,2022-10-03,1,299
0708642278,2022-10-03,1,99
0708643769,2022-10-03,1,100
0708644406,2022-10-03,1,349
0708645514,2022-10-03,1,49
0708646134,2022-10-03,2,0
0708647565,2022-10-03,1,100
0708654941,2022-10-03,1,100
0708659883,2022-10-03,1,199
0708661578,2022-10-03,1,300
0708666505,2022-10-03,2,98
0708673862,2022-10-03,1,0
0708675336,2022-10-03,1,100
0708675654,2022-10-03,2,199
0708676053,2022-10-03,1,99
0708677783,2022-10-03,1,249
0708680511,2022-10-03,1,199
0708680935,2022-10-03,1,99
0708681767,2022-10-03,1,100
0708682408,2022-10-03,1,100
0708687628,2022-10-03,1,249
0708688171,2022-10-03,1,99
0708689661,2022-10-03,1,199
0708689702,2022-10-03,1,99
0708689915,2022-10-03,1,99
0708690230,2022-10-03,1,299
0708690271,2022-10-03,1,99
0708690754,2022-10-03,3,99
0708691130,2022-10-03,1,99
0708691754,2022-10-03,1,99
0708691907,2022-10-03,1,349
0708692408,2022-10-03,6,294
0708692409,2022-10-03,1,49
0708692597,2022-10-03,1,349
0708692926,2022-10-03,2,349
0708693307,2022-10-03,1,100
0708694899,2022-10-03,1,99
0708695536,2022-10-03,1,100
0708696652,2022-10-03,1,299
0708696654,2022-10-03,1,99
0708697648,2022-10-03,1,149
0708697854,2022-10-03,1,99
0708705382,2022-10-03,1,99
0708705615,2022-10-03,1,100
0708708202,2022-10-03,2,10
0708708652,2022-10-03,1,50
0708709266,2022-10-03,1,99
0708716497,2022-10-03,1,100
0708721406,2022-10-03,1,199
0708724571,2022-10-03,1,99
0708731638,2022-10-03,1,99
0708733615,2022-10-03,1,199
0708750564,2022-10-03,1,100
0708751435,2022-10-03,1,99
0708751615,2022-10-03,2,10
0708758986,2022-10-03,2,10
0708759789,2022-10-03,1,99
0708763359,2022-10-03,1,299
0708774128,2022-10-03,1,50
0708774428,2022-10-03,1,100
0708774705,2022-10-03,2,148
0708781609,2022-10-03,1,100
0708794364,2022-10-03,1,249
0708799877,2022-10-03,1,99
0708800996,2022-10-03,1,299
0708821718,2022-10-03,1,100
0708829493,2022-10-03,1,49
0708830875,2022-10-03,1,149
0708839724,2022-10-03,1,299
0708840341,2022-10-03,1,99
0708840509,2022-10-03,1,349
0708842276,2022-10-03,1,49
0708842800,2022-10-03,1,299
0708842906,2022-10-03,1,100
0708844213,2022-10-03,1,99
0708844828,2022-10-03,1,99
0708852843,2022-10-03,1,99
0708852889,2022-10-03,1,199
0708854210,2022-10-03,1,249
0708856784,2022-10-03,1,99
0708863798,2022-10-03,1,249
0708865795,2022-10-03,2,248
0708869449,2022-10-03,2,548
0708871105,2022-10-03,1,99
0708872409,2022-10-03,1,299
0708873805,2022-10-03,1,99
0708875127,2022-10-03,1,99
0708879484,2022-10-03,1,99
0708887616,2022-10-03,1,99
0708888867,2022-10-03,1,299
0708896311,2022-10-03,1,300
0708900640,2022-10-03,1,149
0708901437,2022-10-03,1,99
0708904306,2022-10-03,1,100
0708905423,2022-10-03,1,99
0708909419,2022-10-03,1,99
0708915109,2022-10-03,1,199
0708915941,2022-10-03,1,99
0708918401,2022-10-03,1,99
0708920858,2022-10-03,1,299
0708921764,2022-10-03,1,249
0708922398,2022-10-03,1,149
0708925079,2022-10-03,1,100
0708927350,2022-10-03,1,349
0708927868,2022-10-03,2,148
0708927892,2022-10-03,1,99
0708928085,2022-10-03,1,149
0708928103,2022-10-03,1,149
0708929769,2022-10-03,1,99
0708930279,2022-10-03,1,99
0708930615,2022-10-03,1,99
0708931255,2022-10-03,1,249
0708936262,2022-10-03,1,100
0708938068,2022-10-03,1,99
0708941311,2022-10-03,1,99
0708941853,2022-10-03,1,99
0708942487,2022-10-03,1,99
0708942508,2022-10-03,1,199
0708942512,2022-10-03,1,99
0708944280,2022-10-03,1,299
0708944983,2022-10-03,1,300
0708946752,2022-10-03,3,"402,8"
0708948337,2022-10-03,1,149
0708957972,2022-10-03,1,99
0708958628,2022-10-03,1,49
0708960794,2022-10-03,1,799
0708966087,2022-10-03,1,100
0708966438,2022-10-03,1,99
0708966698,2022-10-03,1,199
0708968703,2022-10-03,1,100
0708968865,2022-10-03,1,99
0708970591,2022-10-03,1,100
0708971282,2022-10-03,1,99
0708971468,2022-10-03,1,100
0708972371,2022-10-03,1,99
0708976173,2022-10-03,1,299
0708985357,2022-10-03,1,99
0708985720,2022-10-03,1,99
0708989329,2022-10-03,1,149
0708998381,2022-10-03,1,99
0709100717,2022-10-03,1,100
0709102006,2022-10-03,1,100
0709104847,2022-10-03,1,99
0709105413,2022-10-03,1,99
0709106432,2022-10-03,1,249
0709108174,2022-10-03,2,10
0709109848,2022-10-03,2,10
0709109967,2022-10-03,1,99
0709111471,2022-10-03,2,10
0709113040,2022-10-03,1,99
0709113204,2022-10-03,2,10
0709115133,2022-10-03,2,10
0709115960,2022-10-03,2,10
0709118603,2022-10-03,2,10
0709118604,2022-10-03,1,99
0709118808,2022-10-03,2,10
0709129383,2022-10-03,1,299
0709129662,2022-10-03,1,799
0709130176,2022-10-03,1,100
0709135762,2022-10-03,1,100
0709138899,2022-10-03,1,99
0709143115,2022-10-03,1,99
0709146035,2022-10-03,1,799
0709146923,2022-10-03,1,199
0709158640,2022-10-03,1,199
0709167369,2022-10-03,1,99
0709167819,2022-10-03,1,99
0709169710,2022-10-03,1,99
0709170016,2022-10-03,1,249
0709172683,2022-10-03,1,300
0709173532,2022-10-03,1,99
0709182742,2022-10-03,1,100
0709184301,2022-10-03,1,99
0709185031,2022-10-03,1,99
0709189383,2022-10-03,1,99
0709189469,2022-10-03,1,249
0709191504,2022-10-03,1,99
0709196750,2022-10-03,1,99
0709196976,2022-10-03,1,99
0709197675,2022-10-03,1,449
0709198383,2022-10-03,1,99
0709199182,2022-10-03,1,199
0709204371,2022-10-03,1,300
0709205458,2022-10-03,1,100
0709207851,2022-10-03,1,149
0709209545,2022-10-03,1,149
0709210882,2022-10-03,2,148
0709210918,2022-10-03,1,99
0709219080,2022-10-03,1,199
0709229621,2022-10-03,1,149
0709246739,2022-10-03,1,99
0709256354,2022-10-03,1,99
0709266730,2022-10-03,1,99
0709266928,2022-10-03,1,99
0709267866,2022-10-03,2,200
0709271382,2022-10-03,1,99
0709280435,2022-10-03,2,149
0709283438,2022-10-03,1,0
0709285135,2022-10-03,1,99
0709290455,2022-10-03,1,99
0709292473,2022-10-03,1,100
0709293088,2022-10-03,1,149
0709305209,2022-10-03,1,100
0709308547,2022-10-03,1,100
0709311131,2022-10-03,1,99
0709314997,2022-10-03,1,199
0709316137,2022-10-03,2,200
0709318606,2022-10-03,1,99
0709322410,2022-10-03,1,99
0709324178,2022-10-03,1,99
0709325526,2022-10-03,1,99
0709326150,2022-10-03,1,99
0709326911,2022-10-03,1,99
0709327125,2022-10-03,1,349
0709328425,2022-10-03,1,100
0709337337,2022-10-03,1,99
0709346829,2022-10-03,1,249
0709357416,2022-10-03,1,449
0709368234,2022-10-03,1,100
0709372528,2022-10-03,2,199
0709373236,2022-10-03,1,99
0709374701,2022-10-03,1,49
0709380027,2022-10-03,1,99
0709381039,2022-10-03,1,49
0709389928,2022-10-03,1,99
0709391199,2022-10-03,1,149
0709393273,2022-10-03,1,149
0709394997,2022-10-03,1,99
0709399685,2022-10-03,1,349
0709403268,2022-10-03,1,99
0709404373,2022-10-03,1,249
0709405814,2022-10-03,1,100
0709405896,2022-10-03,2,199
0709408444,2022-10-03,1,149
0709412976,2022-10-03,2,148
0709419310,2022-10-03,1,99
0709419754,2022-10-03,1,49
0709424945,2022-10-03,1,199
0709425229,2022-10-03,3,52
0709429554,2022-10-03,1,99
0709429716,2022-10-03,1,100
0709430247,2022-10-03,1,99
0709431742,2022-10-03,1,99
0709435347,2022-10-03,2,198
0709436087,2022-10-03,2,10
0709439963,2022-10-03,1,99
0709440023,2022-10-03,1,199
0709440633,2022-10-03,1,100
0709441047,2022-10-03,1,199
0709441262,2022-10-03,1,300
0709441666,2022-10-03,1,149
0709441877,2022-10-03,1,199
0709449994,2022-10-03,1,99
0709452386,2022-10-03,1,349
0709456921,2022-10-03,1,299
0709461171,2022-10-03,1,99
0709467920,2022-10-03,1,300
0709469791,2022-10-03,2,100
0709474076,2022-10-03,1,149
0709474136,2022-10-03,2,248
0709474390,2022-10-03,1,300
0709479140,2022-10-03,1,99
0709483583,2022-10-03,1,100
0709484036,2022-10-03,1,99
0709484148,2022-10-03,1,249
0709484501,2022-10-03,1,99
0709485457,2022-10-03,1,50
0709485886,2022-10-03,1,99
0709486133,2022-10-03,1,99
0709492167,2022-10-03,1,99
0709497695,2022-10-03,1,100
0709501072,2022-10-03,1,99
0709501097,2022-10-03,1,99
0709502096,2022-10-03,1,99
0709503207,2022-10-03,1,99
0709503318,2022-10-03,1,99
0709503439,2022-10-03,2,198
